state,district,year,suicide_count,rainfall_mm,yield_kg_ha,debt_per_farmer,msp_gap_percent,insurance_coverage_percent,crop_failure_percent,risk_level
Telangana,Kurnool,2021,91,1430,2095,140268,25,87,75,Medium
Andhra Pradesh,Warangal,2022,51,430,2685,94820,6,34,38,Medium
Telangana,Kurnool,2015,121,759,4385,288795,29,53,59,High
Telangana,Warangal,2022,83,489,4005,114654,48,59,64,Medium
Andhra Pradesh,Sangrur,2021,5,320,3888,171699,29,64,14,Low
Maharashtra,Bidar,2016,109,864,3945,154243,32,64,71,High
Andhra Pradesh,Sangrur,2020,51,1404,2955,230551,8,6,6,Medium
Telangana,Nagaur,2019,85,1002,3449,232283,38,78,62,Medium
Rajasthan,Nagaur,2021,41,1575,2016,85591,25,84,53,Medium
Karnataka,Kurnool,2021,69,364,4928,294712,28,5,8,Medium
Punjab,Bidar,2022,15,718,3336,42666,9,45,28,Low
Karnataka,Warangal,2016,65,1356,4119,107373,28,41,44,Medium
Rajasthan,Sangrur,2017,22,1260,4810,169182,18,7,1,Low
Maharashtra,Nagaur,2021,165,1094,1392,248126,30,46,77,High
Karnataka,Warangal,2019,108,395,2923,241428,27,19,43,High
Andhra Pradesh,Sangrur,2017,84,1409,2819,73585,46,49,62,Medium
Telangana,Warangal,2018,5,1663,4869,182906,32,66,1,Low
Andhra Pradesh,Bidar,2017,115,1682,1709,51959,31,13,62,High
Karnataka,Sangrur,2016,113,983,1663,195838,36,56,62,High
Maharashtra,Warangal,2018,5,1709,4458,97172,21,63,2,Low
Telangana,Nagaur,2021,83,1548,3432,287426,6,57,44,Medium
Telangana,Sangrur,2022,106,422,1400,198229,28,73,70,High
Karnataka,Bidar,2018,42,486,4397,81663,33,7,20,Medium
Punjab,Yavatmal,2017,39,446,4219,163983,11,56,33,Low
Maharashtra,Bidar,2017,5,772,2969,77254,35,46,7,Low
Maharashtra,Bidar,2018,37,1180,3049,192688,16,73,37,Low
Karnataka,Sangrur,2017,89,1115,3255,96690,24,28,54,Medium
Telangana,Sangrur,2015,52,1743,2445,214423,24,29,18,Medium
Maharashtra,Yavatmal,2020,117,1486,4791,142296,40,37,68,High
Rajasthan,Kurnool,2022,131,1715,2158,116416,37,52,76,High
Rajasthan,Nagaur,2020,46,337,3277,164508,12,31,27,Medium
Andhra Pradesh,Nagaur,2015,72,583,3926,166672,9,65,48,Medium
Telangana,Sangrur,2022,96,1372,4583,217563,32,34,46,High
Punjab,Warangal,2015,111,1360,3327,295564,35,64,63,High
Punjab,Yavatmal,2015,5,865,1569,66631,36,51,23,Low
Punjab,Yavatmal,2016,52,1084,4175,135864,47,52,39,Medium
Maharashtra,Sangrur,2016,46,1220,3455,169788,11,61,36,Medium
Telangana,Bidar,2022,144,811,1399,117922,27,19,66,High
Karnataka,Yavatmal,2021,67,1513,2148,85609,26,53,52,Medium
Rajasthan,Nagaur,2017,92,743,3660,143632,12,57,60,Medium
Telangana,Kurnool,2021,101,1519,1773,227484,36,51,55,High
Telangana,Kurnool,2016,15,935,2129,252866,21,67,19,Low
Maharashtra,Kurnool,2020,151,1090,2150,250552,16,5,58,High
Maharashtra,Nagaur,2020,64,859,4672,206615,49,5,16,Medium
Andhra Pradesh,Nagaur,2019,19,546,4147,97215,41,61,29,Low
Telangana,Kurnool,2021,5,1308,3141,108781,9,80,16,Low
Andhra Pradesh,Warangal,2015,75,1577,2757,53049,9,38,52,Medium
Maharashtra,Sangrur,2016,36,1068,2015,39540,49,8,16,Low
Maharashtra,Bidar,2018,47,1195,3207,221962,24,28,12,Medium
